"","Glasso","Twostep Quadrant","Threestep Quadrant","Twostep Spearman","Threestep Spearman","Gaussian"
"KL_avg",199.804226646948,92.1969116510999,108.179891536134,92.1969116510999,93.4239621297671,92.1969116510999
"FP_avg",0,0,0,0,0,0
"FN_avg",0.981631153563556,0.981631153563556,0.981631153563556,0.981631153563556,0.981631153563556,0.981631153563556
